,id,comment,author,likecount,publishedAt
46,UgzIig47GfadnWFe-9F4AaABAg,Я полагаю 6 последних месяцев ты этим и занимался?,Йогурт Натуральный,0,2021-05-01T21:19:38Z
47,UgxQVwaCo--75FN4ZQd4AaABAg,Почему  про музыку ничего несказанно,Рандом чел,0,2021-05-01T21:18:46Z
48,UgxihlCUufjtRPlyrnt4AaABAg,как много треков Eve в видосе) ну это однозначный лайк,Rgomba,1,2021-05-01T21:17:27Z
49,UgxNIP02e31h0JFQ3mV4AaABAg,что за трек в начале?),Seventh,1,2021-05-01T20:42:15Z
50,UgwQHNon-9O4O-M25oB4AaABAg,За опенинг из дорохедора в начале лайк,SwaGer 07,3,2021-05-01T20:39:38Z
51,UgzQrfg7bFtCiuhN_2p4AaABAg,Бифо проходил Death Stranding 6 месяцев~,Robidashka,0,2021-05-01T20:34:54Z
52,UgxYMFmlsJTRyfGSvul4AaABAg,ОНО ЖИВОЕ!,Рашэн Nerd,0,2021-05-01T20:33:37Z
53,Ugx-VRE9mUhbp90wCxF4AaABAg,"Ебать, как же я рад был услышать и Бифо, и Морковку! Ваще балдею с ваших голосов.",Troll Ololoev,15,2021-05-01T20:24:24Z
54,UgyuCC1Rda_Q_nXYws94AaABAg,Уряяя новый видос бифо,Элимасс,1,2021-05-01T20:06:59Z
55,Ugw6mbRQT3iwtCAz17d4AaABAg,Оно живое!!!,Soldier Duck,0,2021-05-01T20:03:48Z
56,UgwTa47RejeJ2CQBasV4AaABAg,Еба да ты жыв!!!,Dio,0,2021-05-01T20:01:44Z
57,Ugwl_eLfnOLmUp7hieF4AaABAg,"Нихуя соби, Христос Воскресе!",Арсен Бааалдёжный,0,2021-05-01T19:41:12Z
58,Ugz3SfO-9N3k7UyRb8d4AaABAg,С клавой я прям прочувствовал всю эту боль ✊😔,РуТЕЗа,0,2021-05-01T19:40:33Z
59,UgykbyG8JtmfyL-2eAZ4AaABAg,Охааааё,Latias Day,0,2021-05-01T19:18:49Z
60,Ugyzd1NzgPXgm8EFESd4AaABAg,Спасибо что живой,Король неудач(KOF),1,2021-05-01T19:14:25Z
61,UgwyGFHbw1DiMVvkJg54AaABAg,"О, ты живой. 
                        А я художник.",Глеб Шарипов,1,2021-05-01T18:59:32Z
62,UgwTIKhCPe3rwW-O90l4AaABAg,"Ролик топ как всегда, ставлю жирный лукас под видос",Сколуха,3,2021-05-01T18:53:51Z
63,UgzWF_jh44KXVVvmoIB4AaABAg,Я так понимаю Бифо перешёл на Зулин-время?,Red Cap,1,2021-05-01T18:49:59Z
64,Ugxe7AfPBdIX89x2bFN4AaABAg,"Ахуеть и полу года не прошло. *Так стоп*





-Бифо т🅿️🅰️❌ни меня-",inke TROLL,2,2021-05-01T18:45:52Z
65,UgzMK6O1M5vjIBa5WYR4AaABAg,Он еще помнит этот канал?,PeMi,2,2021-05-01T18:43:34Z
66,UgzgdKh_3BZ8u52_LF54AaABAg,Каждое новое видео как гром средь ясного неба.,Den6668,19,2021-05-01T18:40:31Z
67,Ugx7Hyn_dkJSIkRpCc94AaABAg,"Бля, опять дорохедоро пересматривать. Ну, что ты наделал",ден4к донской,0,2021-05-01T18:26:52Z
68,UgwmHIXPAIO127Xc_q54AaABAg,Здарова Бифо),Макс,2,2021-05-01T18:24:46Z
69,Ugya0AktX3LkcykyjOB4AaABAg,Ты кто?,Tumypka,1,2021-05-01T18:23:48Z
70,UgwlOOBUOyFGMdTiL8B4AaABAg,Ты кто?,Manis,1,2021-05-01T18:22:15Z
71,Ugy-JI-3bStzSKwn6Dp4AaABAg,"Ебть, оно живое",Mr.Hurmanio,0,2021-05-01T18:19:20Z
72,UgyQLp3FakDrJJIGGQt4AaABAg,"Лучшее в игре, это тортик",Полина Данилова,0,2021-05-01T18:17:18Z
73,UgyGGaNKWmyOHT5C2X94AaABAg,6 месяцев.... Ты Ах###л,Mr. Frayke,0,2021-05-01T18:16:30Z
74,UgxHlbMO8uBKJrsoeGx4AaABAg,"Непишите, я живой или, он вернулся, не надо пожалуйста.",какой то чел или анимешник,14,2021-05-01T18:15:20Z
75,UgwR6alFzhoLWWOVg9x4AaABAg,ОНО ЖИВО!!!!!!!,Jon karne,1,2021-05-01T18:14:41Z
76,UgxtURjltEtosfJgood4AaABAg,Я надеюсь что я щас не проснулсь и не услышу ержан тебе на работу пора,стрелок меченый,0,2021-05-01T18:13:15Z
77,UgzhfkP_K4YkgWYDTCF4AaABAg,"Хрена себе, ты живой !",D G,6,2021-05-01T18:10:51Z
78,UgzFnqxkFQesLaqxmdZ4AaABAg,И шести месяцев не прошло...,MarrJotTR,0,2021-05-01T18:08:23Z
79,Ugx-2Yl5xE8DA6J-_vR4AaABAg,Ладно,Kimalyn🐡,0,2021-05-01T18:06:05Z
80,Ugwzc4WQ0qqL1BRXyFx4AaABAg,9:24 Юлик и Кузьма такие хорошие,Ал Скорик,8,2021-05-01T18:05:44Z
81,Ugy-S9Nd3sz6ZbP_NrB4AaABAg,ЧЕЕЕЕЛ ПИВЕТ,Полина Данилова,0,2021-05-01T18:05:27Z
